date,NDVI
2013-11-04,-9999
2013-11-20,-9999
2013-12-06,-9999
2013-12-22,-9999
2014-01-07,-9999
2014-01-23,-9999
2014-02-08,-9999
2014-02-24,-9999
2014-03-12,-9999
2014-03-28,-9999
2014-04-13,-9999
2014-04-29,-9999
2014-05-15,-9999
2014-05-31,-9999
2014-06-16,-9999
2014-07-02,-9999
2014-07-18,-9999
2014-08-03,-9999
2014-08-19,-9999
2014-09-04,-9999
2014-09-20,-9999
2014-10-06,-9999
2014-10-22,-9999
2014-11-07,-9999
2014-11-23,-9999
2014-12-09,-9999
2014-12-25,-9999
2015-01-10,-9999
2015-01-26,-9999
2015-02-11,-9999
2015-02-27,-9999
2015-03-15,-9999
2015-03-31,-9999
2015-04-16,-9999
2015-05-02,-9999
2015-05-18,-9999
2015-06-03,-9999
2015-06-19,-9999
2015-07-05,-9999
2015-07-21,-9999
2015-08-06,-9999
2015-08-22,-9999
2015-09-07,-9999
2015-09-23,-9999
2015-10-09,-9999
2015-10-25,-9999
2015-11-10,-9999
2015-11-26,-9999
2015-12-12,-9999
2015-12-28,-9999
2016-01-13,-9999
2016-01-29,-9999
2016-02-14,-9999
2016-03-01,-9999
2016-03-17,-9999
2016-04-02,-9999
2016-04-18,-9999
2016-05-04,-9999
2016-05-20,-9999
2016-06-05,-9999
2016-06-21,-9999
2016-07-07,-9999
2016-07-23,-9999
2016-08-08,-9999
2016-08-24,-9999
2016-09-09,-9999
2016-09-25,-9999
2016-10-11,-9999
2016-10-27,-9999
2016-11-12,-9999
2016-11-28,-9999
2016-12-14,-9999
2016-12-30,-9999
2017-01-15,-9999
2017-01-31,-9999
2017-02-16,-9999
2017-03-04,-9999
2017-03-20,-9999
2017-04-05,-9999
2017-04-21,-9999
2017-05-07,-9999
2017-05-23,-9999
2017-06-08,-9999
2017-06-24,-9999
2017-07-10,-9999
2017-07-26,-9999
2017-08-11,-9999
2017-08-27,-9999
2017-09-12,-9999
2017-09-28,-9999
2017-10-14,-9999
2017-10-30,-9999
2017-11-15,-9999
2017-12-01,-9999
2017-12-17,-9999
2018-01-02,-9999
2018-01-18,-9999
2018-02-03,-9999
2018-02-19,-9999
2018-03-07,-9999
2018-03-23,-9999
2018-04-08,-9999
2018-04-24,-9999
2018-05-10,-9999
2018-05-26,-9999
2018-06-11,-9999
2018-06-27,-9999
2018-07-13,-9999
2018-07-29,-9999
2018-08-14,-9999
2018-08-30,-9999
2018-09-15,-9999
2018-10-01,-9999
2018-10-17,-9999
2018-11-02,-9999
2018-11-18,-9999
2018-12-04,-9999
2018-12-20,-9999
2019-01-05,-9999
2019-01-21,-9999
2019-02-06,-9999
2019-02-22,-9999
2019-03-10,-9999
2019-03-26,-9999
2019-04-11,-9999
2019-04-27,-9999
2019-05-13,-9999
2019-05-29,-9999
2019-06-14,-9999
2019-06-30,-9999
2019-07-16,-9999
2019-08-01,-9999
2019-08-17,-9999
2019-09-02,-9999
2019-09-18,-9999
