date,max_temp,min_temp,temp_mean
2005-03-31,264.7781712433763,255.51606769769273,260.5630490687042
2005-04-30,266.7905054349996,256.2296799837614,262.00780766938516
2005-05-31,271.6543385524724,261.414005096746,267.28739042914304
2005-06-30,277.78996845964264,265.2945847539428,272.4233027726818
2005-07-31,283.2994088921238,273.3037259471962,278.88782940413466
2005-08-31,283.99325966026925,272.89902334236774,278.98165579902405
2005-09-30,281.390084245458,269.73763703638,276.0379900512427
2005-10-31,271.4301732505858,259.24506979779324,265.70307882748466
2005-11-30,263.0331800575667,251.6748591705214,257.6349429354844
2005-12-31,258.9448784717736,248.1161981229057,253.63039076303284
2006-01-31,257.23019038427276,250.8060298510264,254.386018260854
2006-02-28,262.7161028992313,255.1697172209026,259.37062794998553
2006-03-31,262.869049573273,252.81445974089402,258.2688800095091
2006-04-30,267.4524382912305,256.1087631491448,262.32886941200445
2006-05-31,276.1718749292897,264.2430369106543,271.01826462594386
2006-06-30,279.33771253363165,267.921971543469,274.5258344291243
2006-07-31,285.4105698940407,274.3303596794024,280.4816397793135
2006-08-31,284.02565265670137,275.33278645377726,279.85084549848716
2006-09-30,279.1573821525923,267.72821337550727,273.96289735165385
2006-10-31,273.4827240679803,261.20999330461075,267.7457396784616
2006-11-30,264.5514143388308,253.97481581881274,259.6212375068208
2006-12-31,257.4617168369565,250.01331327110444,254.15519151255648
2007-01-31,255.82348352167892,246.95648602095076,251.50430133366282
2007-02-28,260.9726176499564,251.91189899990522,256.8079422068953
2007-03-31,262.5736786053009,253.7882023770463,258.55936348647936
2007-04-30,271.0624530194563,259.53342799834013,265.67712852325855
2007-05-31,275.86559733623284,264.51336699006964,271.0605925178767
2007-06-30,281.4727320716082,270.19354831471003,276.5864593976643
2007-07-31,284.3884570328474,273.86655620784444,279.76064952682304
2007-08-31,285.11897694930286,274.6130862695546,280.2836802204699
2007-09-30,280.10442580375,268.8676834992806,274.93559805123186
2007-10-31,270.94682390608057,258.04134818921426,265.01667202683507
2007-11-30,268.1152003358984,255.21753772589543,261.8130687864389
2007-12-31,258.8964860197727,249.52616468326588,254.5831477964994
2008-01-31,255.06354654683736,248.34945148982305,252.04810936020658
2008-02-29,257.094697216506,249.0094611279964,253.35496595161737
2008-03-31,264.63707609784115,252.82252432554563,259.1543596509166
2008-04-30,268.5759813497119,257.93008009383635,263.8381442860552
2008-05-31,274.5260792499924,263.087826311586,269.5794244243027
2008-06-30,283.1281556591713,271.50410244229585,278.00170334496187
2008-07-31,285.7562580715887,274.94518079991576,280.89670477085406
2008-08-31,284.0510985600663,274.1363983781021,279.4307841069524
2008-09-30,277.4763459175907,265.36102943069835,272.0152453483481
2008-10-31,271.8881799153053,259.1166753777362,265.93218133509106
2008-11-30,265.2628949739512,253.52042233415978,259.69996913147423
2008-12-31,259.6196278745432,250.98131685248535,255.58772132073696
2009-01-31,257.9018130411748,251.00763559284567,254.92764064455326
2009-02-28,259.0865844674129,251.79366407921447,255.90409979333157
2009-03-31,263.59858431019074,254.1103654696689,259.3171076398827
2009-04-30,268.1619823243975,258.01472324000474,263.75420231339524
2009-05-31,272.2736293756028,260.70314869878786,267.2004452758702
2009-06-30,276.60228887157587,265.39292609520095,271.8898926323186
2009-07-31,282.22724902633905,270.76613739863615,277.2876458372201
2009-08-31,284.92631448947213,273.3071442923218,279.683630288957
2009-09-30,278.9665278480694,266.3491871931806,273.2731774017019
2009-10-31,271.97595473255745,260.01798119620594,266.4548571869254
2009-11-30,262.4053714450062,251.79048094390868,257.51343236102133
2009-12-31,257.0254144649295,249.32456188842062,253.5247499622008
2010-01-31,258.6658456441019,250.02594692302833,254.52942487637358
2010-02-28,259.73500025509026,252.9602897141676,256.60233276748966
2010-03-31,265.8089344523218,256.05700111368503,261.19386452237046
2010-04-30,269.56221292866263,259.23891789880514,265.06036563632244
2010-05-31,273.2350336988118,262.95298731784186,268.8423705352394
2010-06-30,275.8576654561994,264.5544379855433,271.0045522376482
2010-07-31,281.29709803401425,270.5838697027177,276.58610824474835
2010-08-31,284.23244181760043,274.8638261503922,279.867161666199
2010-09-30,278.9083698285367,267.8988607453335,273.91751736505483
2010-10-31,271.96635605853504,259.1038152176755,265.87340153999173
2010-11-30,266.5136288669911,252.88236882088415,259.7618246686959
2010-12-31,261.87570965039333,249.12974061335092,255.63932217615837
2011-01-31,256.0859824897427,246.45174719870815,251.5946567809622
2011-02-28,259.0603483106841,251.91198318176947,255.9787293076137
2011-03-31,262.801111398381,253.71462809071383,258.53424749804856
2011-04-30,267.10292514520387,256.4050698150652,262.1828126874058
2011-05-31,274.393144117408,262.41934599084004,269.15542889498766
2011-06-30,279.6373308316758,267.286777029487,274.3021660617459
2011-07-31,283.8238737602796,273.2019588097989,279.11824473815216
2011-08-31,284.7502996726702,274.17903804838,279.91199856238336
2011-09-30,280.29325612655356,269.26294560650496,275.1555801472085
2011-10-31,272.2525698209906,260.2606204657194,266.66128358356485
2011-11-30,265.0639818430784,254.6713195787635,260.1843000153693
2011-12-31,258.725502641245,249.0553016970763,254.09727535226713
2012-01-31,254.4286789666614,246.22323032606877,250.55612049197222
2012-02-29,257.9293611272029,250.45345862093473,254.62740233037354
2012-03-31,262.3596512059826,253.6268519822293,258.6040040787559
2012-04-30,268.1958259646616,257.03182875638487,263.14652924140665
2012-05-31,272.3287432587446,260.5988577067187,267.39525611910034
2012-06-30,277.2669406843757,265.1801352003118,272.04669008650137
2012-07-31,283.377132916104,271.47542246780586,278.0731615611905
2012-08-31,284.7358115655629,274.68236171948575,280.0612518378046
2012-09-30,279.3413539116584,268.9173826298919,274.5156723120469
2012-10-31,269.8376153508785,258.0947203864919,264.34009711001295
2012-11-30,264.40355434649325,252.57902753205104,258.8207631942314
2012-12-31,257.65976402449036,249.41937479791085,253.9332645338745
2013-01-31,254.1214941491868,246.41569296982448,250.4477118146194
2013-02-28,258.83189100359016,250.93405673826877,255.30927534164607
2013-03-31,263.96330365361473,253.96977358054235,259.3417672906072
2013-04-30,268.3695715402266,257.04369548888207,263.4211377351032
2013-05-31,272.6432477746799,261.1522643614414,267.6521114836739
2013-06-30,278.9247613331546,267.2145362436449,273.83823145536826
2013-07-31,284.2261766610102,272.67301203690107,279.11327274256536
2013-08-31,284.36327252153546,275.07322482806745,279.96520558413476
2013-09-30,280.84323313742317,269.0969967161765,275.4524066347623
2013-10-31,274.528954621378,262.14726796855103,268.75307340282666
2013-11-30,262.30101653718816,250.94716309312238,256.79708613428295
2013-12-31,259.29821829524275,249.4244765736991,254.56356719659465
2014-01-31,256.65896677682366,247.6978513849343,252.5104915093392
2014-02-28,257.77988539703443,249.94614886084818,254.17879304654463
2014-03-31,263.03783820595106,253.98792502815547,259.1275517637214
2014-04-30,267.09489405365025,256.5329846354746,262.4172106266256
2014-05-31,272.74937148993575,262.1986963402346,268.20717411784705
2014-06-30,278.27693838153635,266.29320766864214,273.08143192416253
2014-07-31,284.0083133218207,272.7365845237306,278.9537711810457
2014-08-31,283.5894875642006,272.3927502758485,278.50969946764116
2014-09-30,278.9539271843533,267.58746435109515,273.7631587153167
2014-10-31,271.70337789716837,259.6091173795308,266.1253611427372
2014-11-30,262.48173295620626,252.05574353391037,257.437746267835
2014-12-31,258.3596570237669,248.77314969173503,253.8283129227493
2015-01-31,257.0646462106908,248.39667856482373,253.02527058199246
2015-02-28,260.0750623255968,252.35797440778103,256.4893104422548
2015-03-31,263.46677909261564,254.14831991614975,259.3172634575666
2015-04-30,267.8916306918137,256.8828291241738,262.9530129421904
2015-05-31,272.78452845823773,261.49730890504213,267.91814967085753
